epoch,loss,val_loss
0,0.10140876471996307,0.02991637960076332
1,0.00959157757461071,0.005959667731076479
2,0.003851567627862096,0.010385842062532902
3,0.003460533684119582,0.005157970357686281
4,0.0028912732377648354,0.005045480094850063
5,0.002748259576037526,0.006151564419269562
6,0.0025140782818198204,0.004895033780485392
7,0.0024655209854245186,0.005195113830268383
8,0.002315444638952613,0.005142019130289555
9,0.0021623936481773853,0.004605622496455908
10,0.0020100902765989304,0.00513633294031024
11,0.0021749231964349747,0.004780661780387163
12,0.001983561320230365,0.004601313732564449
13,0.00176946260035038,0.004538262728601694
14,0.0017109501641243696,0.004219389520585537
15,0.0016916377935558558,0.004287817515432835
16,0.0016741452272981405,0.004078236408531666
17,0.0015956859569996595,0.004652694799005985
18,0.0016721865395084023,0.004004390444606543
19,0.001456772442907095,0.004372930619865656
20,0.0016081960638985038,0.003909735474735498
21,0.0015068710781633854,0.0037144708912819624
22,0.0014412158634513617,0.003653252264484763
23,0.001342314062640071,0.003682898823171854
24,0.001333326450549066,0.0037875021807849407
25,0.0013327115448191762,0.0035343344788998365
26,0.0013727062614634633,0.003507795976474881
27,0.0012456713011488318,0.0038269434589892626
28,0.001314945868216455,0.003568533342331648
29,0.0013816244900226593,0.00396208418533206
