epoch,loss,val_loss
0,0.059578221291303635,0.02558964304625988
1,0.005517809186130762,0.002677739830687642
2,0.0013754129176959395,0.0026385262608528137
3,0.0010612490586936474,0.0017398850759491324
4,0.0008471952751278877,0.0017295554280281067
5,0.000748002843465656,0.001594739151187241
6,0.0006467488128691912,0.0018339602975174785
7,0.0006200281786732376,0.0015677929623052478
8,0.0006571704288944602,0.0014834966277703643
9,0.0006523265037685633,0.001492033014073968
10,0.0006117870798334479,0.0015107374638319016
11,0.0005380682414397597,0.001418004627339542
12,0.000532949750777334,0.001529984176158905
13,0.000564972055144608,0.00135448866058141
14,0.0004715831601060927,0.001415582955814898
15,0.0004910685820505023,0.0013842955231666565
16,0.0004622098640538752,0.0014212829992175102
