id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h,historical_trends,sentiment_score,macroeconomic_indicator
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.184948,1769679608.0,71.0,1999397629.0,46150335.0,0.205071,0.185319,-0.0170352021360338,-8.43396,-154488456.1818831,-8.02884,9548531509.16547,10788004319.0,10788004319.0,2.84,-93.46267,2021-02-12T07:28:45.775Z,0.052051,256.87804,2022-11-22T10:05:03.503Z,,2025-01-13T11:19:36.436Z,,10000000.0,18903.11048736526,0.5,1.0
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.91,1701679407.0,72.0,19074487809.0,373067992.0,2.2,1.9,-0.2489496893673815,-11.53853,-208840698.7169423,-10.93109,892123250.662935,10000000000.0,10000000000.0,11.74,-83.68349,2024-03-10T00:10:42.330Z,0.973104,96.86069,2023-09-13T07:36:44.064Z,,2025-01-13T11:19:37.204Z,,10000000.0,47366.0726763243,0.5,1.0
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,3.81,1631853959.0,73.0,3317731190.0,50299919.0,3.84,3.79,-0.0047254490015324,-0.12386,-2079195.0535581112,-0.12725,428281983.0,870742437.0,1000000000.0,3.84,-0.67447,2025-01-13T00:36:17.513Z,0.398142,858.41656,2023-01-21T10:15:39.503Z,,2025-01-13T11:19:36.323Z,,10000000.0,17324.596164894905,0.5,1.0
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.11,1607036968.0,74.0,11119991223.0,155410077.0,1.26,1.11,-0.123875588047619,-10.01452,-180307840.98981,-10.08803,1445178270.0,10000000000.0,10000000000.0,2.14,-47.64948,2024-12-16T00:36:00.777Z,0.082171,1263.47761,2024-01-18T12:14:30.524Z,,2025-01-13T11:19:42.819Z,,10000000.0,35003.476161607156,0.5,1.0
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3500.75,1604554411.0,75.0,1604554411.0,7227418.0,3721.96,3499.78,-140.2211450201262,-3.8512,-63515461.80165315,-3.80772,458375.6880345054,458375.6880345054,,4814.31,-27.14083,2021-12-01T08:03:50.749Z,887.26,295.3354,2022-06-18T20:55:45.957Z,,2025-01-13T11:19:34.598Z,,10000000.0,35283.08203246591,0.5,1.0
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,3214.01,1557405222.0,76.0,1557405222.0,3607129.0,3434.35,3207.64,-143.6214231541071,-4.27746,-66837466.50626445,-4.11499,484530.5094157946,484530.5094157946,,4216.2,-23.67644,2024-12-06T20:31:16.142Z,2069.62,55.48505,2024-01-23T14:25:53.609Z,,2025-01-13T11:19:41.202Z,,10000000.0,34740.09333255715,0.5,1.0
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,90998.0,1543017317.0,77.0,1543017317.0,1623157.0,95710.0,90992.0,-2999.2579664624354,-3.1908,-48941352.12713051,-3.07429,16955.32477991,16955.32477991,,108188.0,-15.5679,2024-12-16T18:42:29.564Z,52119.0,75.26147,2024-09-06T21:01:52.094Z,,2025-01-13T11:19:41.479Z,,10000000.0,47118.22033591777,0.5,1.0
usual-usd,usd0,Usual USD,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,0.991869,1521005849.0,78.0,1521005849.0,39447018.0,1.006,0.98558,-0.0091094612171973,-0.91006,-17147075.021445513,-1.11478,1533474968.345357,1533474968.345357,,1.33,-24.95349,2024-07-12T08:28:59.311Z,0.976542,1.87905,2024-08-05T06:27:12.976Z,,2025-01-13T11:19:36.312Z,,10000000.0,40519.81872952469,0.5,1.0
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.348166,1464626688.0,79.0,3480760547.0,91024982.0,0.391821,0.348098,-0.0373985030129289,-9.69967,-157927394.80203414,-9.73326,4207777777.0,10000000000.0,,1.14,-69.27454,2024-03-16T02:30:23.904Z,0.095364,267.20825,2023-10-19T08:05:30.655Z,,2025-01-13T11:19:35.174Z,,10000000.0,23124.53024594609,0.5,1.0
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.096156,1437792768.0,81.0,3654449732.0,41975701.0,0.101603,0.09611,-0.0038713879884781,-3.87032,-55535805.667942286,-3.71893,14930338781.9,37948565174.7,,0.192754,-49.71913,2021-08-21T04:39:48.324Z,0.00039532,24416.57816,2019-07-22T00:00:00.000Z,"{'times': 3.1149111033611647, 'currency': 'eth', 'percentage': 311.4911103361165}",2025-01-13T11:19:42.242Z,,10000000.0,40199.24957143649,0.5,1.0
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00014842,1436331940.0,80.0,1484774269.0,176778682.0,0.00016649,0.00014849,-1.5571098146742e-05,-9.49502,-147598792.35522628,-9.31851,9673739439445.0,10000000000000.0,10000000000000.0,0.00034495,-56.79515,2024-06-05T07:25:59.137Z,8.428e-08,176733.43687,2021-07-06T01:11:20.438Z,,2025-01-13T11:19:39.645Z,,10000000.0,40616.830455414834,0.5,1.0
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,98.07,1424993976.0,82.0,1431687451.0,22323082.0,107.7,98.02,-8.694151388829994,-8.14337,-127434003.49434447,-8.20869,14544176.164091088,14612493.0,14612493.0,427.42,-76.9193,2021-09-11T09:15:00.668Z,0.215773,45620.22914,2018-08-23T00:00:00.000Z,"{'times': 12.5707060337644, 'currency': 'eth', 'percentage': 1257.0706033764402}",2025-01-13T11:19:34.659Z,,10000000.0,42218.10406438951,0.5,1.0
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,1.42,1423325229.0,83.0,1423325229.0,336708031.0,1.58,1.43,-0.1228086086114197,-7.93891,-119305387.98052263,-7.73389,998926392.0,998926392.0,998926392.0,4.83,-70.23643,2024-03-31T09:34:58.366Z,0.00155464,92283.45313,2023-12-13T07:13:50.873Z,,2025-01-13T11:19:36.725Z,,10000000.0,11341.882582859651,0.5,1.0
