id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price,volume_24h
,USDT,,,,$ 142.65 B,,,,,,,,,,,,,,,,,,,,,$ 0.9991,₮ 497.45 M
,SOL,,,,$ 105.13 B,,,,,,,,,,,,,,,,,,,,,$ 177.54,SOL 11.82 M
,BNB,,,,$ 95.90 B,,,,,,,,,,,,,,,,,,,,,$ 665.93,BNB 691.40 K
,DOGE,,,,$ 47.26 B,,,,,,,,,,,,,,,,,,,,,$ 0.3202,DOGE 4.92 B
,USDC,,,,$ 45.80 B,,,,,,,,,,,,,,,,,,,,,$ 0.9998,USDC 1.53 B
,SUI,,,,$ 44.21 B,,,,,,,,,,,,,,,,,,,,,$ 4.42,SUI 216.07 M
,ADA,,,,$ 41.00 B,,,,,,,,,,,,,,,,,,,,,$ 0.9112,ADA 710.57 M
,STETH,,,,$ 29.92 B,,,,,,,,,,,,,,,,,,,,,"$ 3,113.36",STETH 10.65 K
,TON,,,,$ 25.97 B,,,,,,,,,,,,,,,,,,,,,$ 5.07,TON 26.10 M
,RYO,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,XLM,,,,$ 20.16 B,,,,,,,,,,,,,,,,,,,,,$ 0.4032,XLM 994.84 M
,HYPE,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,WLD,,,,$ 19.11 B,,,,,,,,,,,,,,,,,,,,,$ 1.91,WLD 120.46 M
,TRX,,,,$ 18.98 B,,,,,,,,,,,,,,,,,,,,,$ 0.2203,TRX 2.06 B
,LINK,,,,$ 18.36 B,,,,,,,,,,,,,,,,,,,,,$ 18.36,LINK 18.67 M
,AVAX,,,,$ 15.23 B,,,,,,,,,,,,,,,,,,,,,$ 33.92,AVAX 6.35 M
,HBAR,,,,$ 13.24 B,,,,,,,,,,,,,,,,,,,,,$ 0.2648,HBAR 1.29 B
,UNI,,,,$ 12.58 B,,,,,,,,,,,,,,,,,,,,,$ 12.58,UNI 11.46 M
,WBTC,,,,$ 12.05 B,,,,,,,,,,,,,,,,,,,,,"$ 91,425.7",wɃ 1.61 K
,SHIB,,,,$ 11.97 B,,,,,,,,,,,,,,,,,,,,,$ 0.00002031,"SHIB 12,583.13 B"
,ENA,,,,$ 11.79 B,,,,,,,,,,,,,,,,,,,,,$ 0.7861,ENA 395.58 M
,ONDO,,,,$ 11.15 B,,,,,,,,,,,,,,,,,,,,,$ 1.12,ONDO 132.66 M
,CULT,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,DOT,,,,$ 9.46 B,,,,,,,,,,,,,,,,,,,,,$ 6.15,DOT 29.18 M
,APT,,,,$ 9.40 B,,,,,,,,,,,,,,,,,,,,,$ 8.28,APT 13.94 M
,WBT,,,,$ 8.90 B,,,,,,,,,,,,,,,,,,,,,$ 26.59,WBT 1.00 M
,LEO,,,,$ 8.53 B,,,,,,,,,,,,,,,,,,,,,$ 9.23,LEO 63.38 K
,BCH,,,,$ 8.23 B,,,,,,,,,,,,,,,,,,,,,$ 415.23,BCH 473.85 K
,MOVE,,,,$ 7.95 B,,,,,,,,,,,,,,,,,,,,,$ 0.7951,MOVE 146.47 M
,BGB,,,,$ 7.69 B,,,,,,,,,,,,,,,,,,,,,$ 6.41,BGB 81.31 M
,JUP,,,,$ 7.33 B,,,,,,,,,,,,,,,,,,,,,$ 0.7332,JUP 46.98 M
,LTC,,,,$ 7.21 B,,,,,,,,,,,,,,,,,,,,,$ 95.59,Ł 3.33 M
,OP,,,,$ 7.00 B,,,,,,,,,,,,,,,,,,,,,$ 1.63,OP 61.50 M
,PEPE,,,,$ 6.79 B,,,,,,,,,,,,,,,,,,,,,$ 0.00001641,"PEPE 36,593.29 B"
,ARB,,,,$ 6.76 B,,,,,,,,,,,,,,,,,,,,,$ 0.6762,ARB 323.88 M
,MANTLE,,,,$ 6.56 B,,,,,,,,,,,,,,,,,,,,,$ 1.05,MANTLE 78.11 M
,OM,,,,$ 6.55 B,,,,,,,,,,,,,,,,,,,,,$ 3.63,OM 9.82 M
,WEETH,,,,$ 6.18 B,,,,,,,,,,,,,,,,,,,,,"$ 3,286.23",WEETH 269.17
,USDE,,,,$ 5.78 B,,,,,,,,,,,,,,,,,,,,,$ 0.9991,USDE 0
,NEAR,,,,$ 5.58 B,,,,,,,,,,,,,,,,,,,,,$ 4.53,NEAR 38.23 M
,GT,,,,$ 5.33 B,,,,,,,,,,,,,,,,,,,,,$ 17.76,GT 545.98 K
,ICP,,,,$ 5.03 B,,,,,,,,,,,,,,,,,,,,,$ 9.52,ICP 10.70 M
,XT,,,,$ 5.02 B,,,,,,,,,,,,,,,,,,,,,$ 5.02,XT 3.89 M
,EIGEN,,,,$ 4.86 B,,,,,,,,,,,,,,,,,,,,,$ 2.85,EIGEN 24.23 M
,TIA,,,,$ 4.80 B,,,,,,,,,,,,,,,,,,,,,$ 4.44,TIA 22.94 M
,POL,,,,$ 4.33 B,,,,,,,,,,,,,,,,,,,,,$ 0.4191,POL 150.93 M
,MATIC,,,,$ 4.18 B,,,,,,,,,,,,,,,,,,,,,$ 0.4191,MATIC 11.44 M
,AAVE,,,,$ 4.18 B,,,,,,,,,,,,,,,,,,,,,$ 261.39,AAVE 775.69 K
,ZRO,,,,$ 4.07 B,,,,,,,,,,,,,,,,,,,,,$ 4.07,ZRO 10.17 M
,STRK,,,,$ 3.94 B,,,,,,,,,,,,,,,,,,,,,$ 0.3939,STRK 103.51 M
,CRO,,,,$ 3.88 B,,,,,,,,,,,,,,,,,,,,,$ 0.1295,CRO 146.62 M
,XDC,,,,$ 3.75 B,,,,,,,,,,,,,,,,,,,,,$ 0.09615,XDC 350.45 M
,XMR,,,,$ 3.56 B,,,,,,,,,,,,,,,,,,,,,$ 192.11,XMR 293.71 K
,ETC,,,,$ 3.54 B,,,,,,,,,,,,,,,,,,,,,$ 23.57,ETC 4.90 M
,VET,,,,$ 3.54 B,,,,,,,,,,,,,,,,,,,,,$ 0.04120,VET 1.57 B
,DAI,,,,$ 3.51 B,,,,,,,,,,,,,,,,,,,,,$ 1.000,DAI 37.10 M
,RNDR,,,,$ 3.48 B,,,,,,,,,,,,,,,,,,,,,$ 6.53,RNDR 1.12 M
,VINCI,,,,$ 3.42 B,,,,,,,,,,,,,,,,,,,,,$ 11.41,VINCI 10.03 K
,ALGO,,,,$ 3.31 B,,,,,,,,,,,,,,,,,,,,,$ 0.3305,ALGO 397.72 M
,TAO,,,,$ 3.25 B,,,,,,,,,,,,,,,,,,,,,$ 401.96,TAO 322.63 K
,FET,,,,$ 3.21 B,,,,,,,,,,,,,,,,,,,,,$ 1.18,FET 145.61 M
,SEI,,,,$ 3.11 B,,,,,,,,,,,,,,,,,,,,,$ 0.3496,SEI 235.41 M
,PYTH,,,,$ 2.98 B,,,,,,,,,,,,,,,,,,,,,$ 0.2978,PYTH 115.49 M
,FIL,,,,$ 2.95 B,,,,,,,,,,,,,,,,,,,,,$ 4.75,FIL 32.56 M
,ENS,,,,$ 2.91 B,,,,,,,,,,,,,,,,,,,,,$ 29.10,ENS 2.33 M
,KAS,,,,$ 2.83 B,,,,,,,,,,,,,,,,,,,,,$ 0.1109,KAS 601.34 M
,RENDER,,,,$ 2.68 B,,,,,,,,,,,,,,,,,,,,,$ 6.53,RENDER 12.31 M
,ATOM,,,,$ 2.62 B,,,,,,,,,,,,,,,,,,,,,$ 6.07,ATOM 19.41 M
,WBETH,,,,$ 2.53 B,,,,,,,,,,,,,,,,,,,,,"$ 3,297.76",WBETH 1.99 K
,PENGU,,,,$ 2.52 B,,,,,,,,,,,,,,,,,,,,,$ 0.02834,PENGU 7.33 B
,ATH,,,,$ 2.45 B,,,,,,,,,,,,,,,,,,,,,$ 0.05826,ATH 275.27 M
,RAY,,,,$ 2.44 B,,,,,,,,,,,,,,,,,,,,,$ 4.40,RAY 7.26 M
,ME,,,,$ 2.43 B,,,,,,,,,,,,,,,,,,,,,$ 2.43,ME 27.73 M
,MORPHO,,,,$ 2.32 B,,,,,,,,,,,,,,,,,,,,,$ 2.32,MORPHO 11.76 M
,VIRTUAL,,,,$ 2.32 B,,,,,,,,,,,,,,,,,,,,,$ 2.32,VIRTUAL 80.98 M
,JTO,,,,$ 2.32 B,,,,,,,,,,,,,,,,,,,,,$ 2.32,JTO 6.71 M
,FLR,,,,$ 2.31 B,,,,,,,,,,,,,,,,,,,,,$ 0.02240,FLR 396.95 M
,BONK,,,,$ 2.30 B,,,,,,,,,,,,,,,,,,,,,$ 0.00002525,"BONK 3,668.60 B"
,GRASS,,,,$ 2.28 B,,,,,,,,,,,,,,,,,,,,,$ 2.28,GRASS 32.51 M
,IMX,,,,$ 2.26 B,,,,,,,,,,,,,,,,,,,,,$ 1.13,IMX 21.38 M
,W,,,,$ 2.25 B,,,,,,,,,,,,,,,,,,,,,$ 0.2250,W 120.03 M
,STX,,,,$ 2.17 B,,,,,,,,,,,,,,,,,,,,,$ 1.39,STX 34.54 M
,IO,,,,$ 2.14 B,,,,,,,,,,,,,,,,,,,,,$ 2.68,IO 25.55 M
,FTM,,,,$ 2.09 B,,,,,,,,,,,,,,,,,,,,,$ 0.6598,FTM 53.57 M
,HTX,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,ZK,,,,$ 2.04 B,,,,,,,,,,,,,,,,,,,,,$ 0.1637,ZK 229.47 M
,GRT,,,,$ 2.00 B,,,,,,,,,,,,,,,,,,,,,$ 0.1850,GRT 250.28 M
,THETA,,,,$ 1.93 B,,,,,,,,,,,,,,,,,,,,,$ 1.93,THETA 14.46 M
,INJ,,,,$ 1.92 B,,,,,,,,,,,,,,,,,,,,,$ 19.21,INJ 3.23 M
,CORE,,,,$ 1.89 B,,,,,,,,,,,,,,,,,,,,,$ 0.8990,CORE 26.28 M
,FTN,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,MOCA,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,FDUSD,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,RONIN,,,,$ 1.73 B,,,,,,,,,,,,,,,,,,,,,$ 1.73,RONIN 5.31 M
,ETHFI,,,,$ 1.71 B,,,,,,,,,,,,,,,,,,,,,$ 1.71,ETHFI 29.76 M
,CRV,,,,$ 1.71 B,,,,,,,,,,,,,,,,,,,,,$ 0.7712,CRV 155.62 M
,ZEDXION,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A
,BTC,,,,1810135557234.8403,,,,,,,,,,,,,,,,,,,,,91377.08981598538,36273608030.18343
,ETH,,,,374366122029.7864,,,,,,,,,,,,,,,,,,,,,3106.952057949076,19392617025.183056
,XRP,,,,138020000903.2801,,,,,,,,,,,,,,,,,,,,,2.4006350642545566,6632053332.7831
,USDT,,,,137301376489.33096,,,,,,,,,,,,,,,,,,,,,0.9989207511936957,83566853373.06883
,BNB,,,,95676716079.72041,,,,,,,,,,,,,,,,,,,,,664.3932238057049,1563849115.0279768
,SOL,,,,85839361386.9789,,,,,,,,,,,,,,,,,,,,,177.19931779795522,2715582274.8672004
,DOGE,,,,47124942726.507256,,,,,,,,,,,,,,,,,,,,,0.3192633100003177,2139920328.1176176
,USDC,,,,45800349256.839905,,,,,,,,,,,,,,,,,,,,,0.9998497244648952,5521368894.261345
,ADA,,,,31957542380.057438,,,,,,,,,,,,,,,,,,,,,0.908963823527393,940916539.3804513
,TRX,,,,18938855801.18141,,,,,,,,,,,,,,,,,,,,,0.21977520851557328,816335659.1766994
,AVAX,,,,13896494858.001371,,,,,,,,,,,,,,,,,,,,,33.82824321487238,371692919.29937917
,SUI,,,,13261310171.042654,,,,,,,,,,,,,,,,,,,,,4.4063813343751566,1457870954.0604339
,TON,,,,12857562771.744835,,,,,,,,,,,,,,,,,,,,,5.061865132497039,203822420.0891621
,XLM,,,,12222961958.607098,,,,,,,,,,,,,,,,,,,,,0.4020923166316143,534601088.08662874
,SHIB,,,,11934451200.510603,,,,,,,,,,,,,,,,,,,,,2.0253448556357928e-05,442499199.3064339
